 The  Conjuring  of  a  Woman  at  the  House  of  Robert  Houdin,'Horror'|  'Short'|1800's|short|less  than  5  minutes,The  Music  Lover,'Short'|  'short'|  'less  than  5  minutes',Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Exit  of  Rip  and  the  Dwarf,'Drama'|  'Short'|1800's|short|less  than  5  minutes,A  Chess  Dispute,'Short'|  'short'|  'less  than  5  minutes',Edison  Kinetoscopic  Record  of  a  Sneeze,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Towing  a  Boat  on  the  River,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Castro  in  New  York,'Short'|  'short',Automobiles  Starting  a  Race,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Beach  and  Pier  at  Trouville    1st  part,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Countryman's  First  Sight  of  the  Animated  Pictures,'Short'|  'short'|  'less  than  5  minutes',Exit  of  Rip  and  the  Dwarf,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Beach  and  Pier  at  Trouville    2nd  part,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,Naval  Review  at  Cherburg,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes'",Sea  Bathing,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Leaving  Jerusalem  by  Railway,'Documentary'|  'Short'|1800's|short|less  than  5  minutes,The  Little  Train  Robbery,'short',Beach  and  Pier  at  Trouville    2nd  part,"'Short'|  'Documentary'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  House  of  the  Devil,'Horror'|  'Short'|1800's|short|less  than  5  minutes,Love  and  Dynamite,'Short'|  'short',Akrobatisches  Potpourri,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Mysterious  Paper,'Short'|1800's|short|less  than  5  minutes,Spanish  Bullfight,'Short'|  'short'|  'less  than  5  minutes',The  Conjuring  of  a  Woman  at  the  House  of  Robert  Houdin,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 The  Beach  at  Villiers  in  a  Gale,'Short'|1800's|short|less  than  5  minutes,The  Cub  Reporter's  Big  Scoop,'Short'|  'short',Coronation  of  a  Village  Maiden,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
 Smarter  than  the  Teacher,'Short'|1800's|short|less  than  5  minutes,What  Came  Out  of  the  Cheese;  or    The  Lilliputians  in  a  New  York  Restaurant,'Short'|  'short'|  'less  than  5  minutes',Rip  Meeting  the  Dwarf,"'Short'|  ""1800's""|  'short'|  'less  than  5  minutes' "
